row,column,cor,p
Btg4,Hsp90ab1,-0.942909938252768,1.4677519644124e-08
Calcoco2,Hsp90ab1,0.916565107128949,2.33767517343608e-07
Cnbp,Hsp90ab1,0.272280321865755,0.290387748725754
Ctsl,Hsp90ab1,0.325752981013206,0.201970109986894
Dppa3,Hsp90ab1,0.362925021706702,0.15221143831652
Eif5a,Hsp90ab1,0.869858972984487,5.701464832919e-06
Fbxo15,Hsp90ab1,0.832007914271903,3.44657596196285e-05
Gcsh,Hsp90ab1,0.22939746750419,0.375788880258375
Gdf9,Hsp90ab1,-0.910209790633248,3.978239582203e-07
Gnb2l1,Hsp90ab1,0.948894503918874,6.50993170481229e-09
H1foo,Hsp90ab1,-0.792383292383292,0.000149211983934805
Hdgf,Hsp90ab1,0.760736768969141,0.000391389018238986
Hnrnpab,Hsp90ab1,0.255371441610125,0.322538821056419
Hprt,Hsp90ab1,0.739103883890842,0.000699203462167564
Alppl2,Isyna1,0.809085480870539,8.37996112463824e-05
Bcl2l10,Isyna1,-0.793360334180679,0.000144466271054355
Btg4,Isyna1,-0.934969325153374,3.8079854380868e-08
Calcoco2,Isyna1,0.965052296656553,3.94630106370641e-10
Cnbp,Isyna1,0.350737365406294,0.167495097779502
Ctsl,Isyna1,0.362408135883912,0.152839588347423
Dppa3,Isyna1,0.411648285096858,0.100645978863915
Eif5a,Isyna1,0.928834355828221,7.35323890665995e-08
Fbxo15,Isyna1,0.787052032074563,0.000177474202001537
Gcsh,Isyna1,0.374923808835374,0.13812132859063
Gdf9,Isyna1,-0.897358624425648,1.04409093304447e-06
Gnb2l1,Isyna1,0.930465943044475,6.20903652936988e-08
H1foo,Isyna1,-0.805402238924239,9.56116458306067e-05
Hdgf,Isyna1,0.660944330238732,0.00386846844730449
Hnrnpab,Isyna1,0.337423312883436,0.185334439205386
Hprt,Isyna1,0.766871165644172,0.000328434116020793
Hsp90ab1,Isyna1,0.915285623655519,2.61038781257383e-07
Alppl2,Khdc1b,-0.507673514931666,0.0374922947576251
Bcl2l10,Khdc1b,0.691269004355878,0.00211699778145236
Btg4,Khdc1b,0.819631901840491,5.65383622315174e-05
Calcoco2,Khdc1b,-0.783568510245918,0.000198261976029235
Cnbp,Khdc1b,0.0884521551987852,0.735678802795687
Ctsl,Khdc1b,0.00859951508877078,0.973868931857688
